,index,val_loss,val_acc,loss,acc,fit_type,EPOCHS
38,38,0.7198912732258528,0.8502993991275034,0.25936720925578455,0.9142215546019777,fine_tune,167
39,39,0.7203061526407025,0.8479041930444227,0.2598415245307598,0.9145209558709653,fine_tune,168
40,40,0.7303736789140872,0.8514970066304692,0.27307563614613284,0.9142215558868683,fine_tune,169
41,41,0.7352991931452723,0.850299407050995,0.26633510297933916,0.917664671658042,fine_tune,170
42,42,0.73590036516418,0.8467065864694333,0.26193664081305446,0.9184131717253587,fine_tune,171
43,43,0.740673856392592,0.8407185630883999,0.2579005944871617,0.9175149697029662,fine_tune,172
44,44,0.7484882033156778,0.8407185648015874,0.25326511015457487,0.9205089806796548,fine_tune,173
45,45,0.7352178617642668,0.8395209569417074,0.2601779865201362,0.9202095794106672,fine_tune,174
46,46,0.7357990658390308,0.8419161598839445,0.24676468616719552,0.923652693254505,fine_tune,175
47,47,0.7257112154703654,0.843113770527754,0.2435697517218347,0.9232035910298011,fine_tune,176
48,48,0.7179646570525483,0.8443113778879543,0.2445496536189032,0.9239520938096646,fine_tune,177
49,49,0.7179027349649075,0.8395209553712857,0.24907506989415534,0.9181137703849884,fine_tune,178
50,50,0.7157916792138608,0.839520957869684,0.229824997274997,0.9257485012094417,fine_tune,179
51,51,0.7164927714509879,0.8395209562992622,0.23444567421551593,0.9257485006383793,fine_tune,180
52,52,0.7231747809998289,0.8407185682279621,0.23521222315594822,0.9245508983463584,fine_tune,181
53,53,0.7227293750483119,0.8383233517229914,0.23658755791713734,0.9242514958638631,fine_tune,182
54,54,0.717475705946277,0.8443113751040248,0.23122196318860538,0.9293413151524024,fine_tune,183
55,55,0.7207035028292034,0.8455089849626233,0.22491781413109002,0.9276946099932323,fine_tune,184
56,56,0.7255114990794016,0.841916163453085,0.22754126218409684,0.9269461040725251,fine_tune,185
57,57,0.716875139976333,0.8383233489390619,0.20927931323513657,0.9327844290676232,fine_tune,186
58,58,0.711825509271222,0.839520957084473,0.21273673109620989,0.93188622576034,fine_tune,187
59,59,0.711117425578797,0.8335329364873691,0.2217991618807623,0.9282934114604653,fine_tune,188
60,60,0.7084282851303945,0.8395209569417074,0.21791167292007785,0.9299401188325025,fine_tune,189
61,61,0.7072678024897319,0.838323348153851,0.20577731913033717,0.9338323348296617,fine_tune,190
62,62,0.7037793501765428,0.8323353311258875,0.21315412707515283,0.9333832296782625,fine_tune,191
63,63,0.6930235281675875,0.8371257482174628,0.2202453236000802,0.9333832315342155,fine_tune,192
64,64,0.7027001296688696,0.8359281433556608,0.19700356175688033,0.9392215546019776,fine_tune,193
65,65,0.7008738222950233,0.833532931347807,0.1969194926589192,0.9387724530911017,fine_tune,194
66,66,0.7130239464208752,0.8359281461395903,0.18303222258179308,0.9422155676487677,fine_tune,195
67,67,0.7141010536048227,0.8395209577269183,0.20045828775999075,0.9365269438949174,fine_tune,196
68,68,0.7131759988690565,0.8431137714557305,0.19582682697013198,0.9360778420271274,fine_tune,197
69,69,0.708759011051612,0.840718564159142,0.1841503454573051,0.9419161623823429,fine_tune,198
70,70,0.7096874614675602,0.8383233559345771,0.20378499243765355,0.9357784407581398,fine_tune,199
71,71,0.7122877485470144,0.8371257412219476,0.1891971903970231,0.9399700570249272,fine_tune,200
72,72,0.7058954205341682,0.8419161645238271,0.19518385027830829,0.9363772434388806,fine_tune,201
73,73,0.7042725087996728,0.8383233535789444,0.18430778390175837,0.9420658654795435,fine_tune,202
74,74,0.7065878727657352,0.8323353311258875,0.18228110929025326,0.9413173619858519,fine_tune,203
75,75,0.7096604628834182,0.8359281433556608,0.17778313811645358,0.942964069786186,fine_tune,204
76,76,0.7089183415124516,0.8383233489390619,0.19125119387590422,0.9383233512946946,fine_tune,205
77,77,0.7052640474128152,0.8323353238448411,0.17203487716169058,0.9467065825433788,fine_tune,206
78,78,0.7089429033730559,0.8359281477100121,0.16991057205320653,0.9471556869809499,fine_tune,207
79,79,0.7122796378271309,0.8323353292699346,0.16323001117161112,0.9492514931513164,fine_tune,208
80,80,0.709086616596062,0.8287425130427241,0.1703439851921654,0.944011972764295,fine_tune,209
81,81,0.7043901701173383,0.8287425184678174,0.1841369750257024,0.9411676620294948,fine_tune,210
82,82,0.7047690498257826,0.8287425173970754,0.17048701009417544,0.9476047873497009,fine_tune,211
83,83,0.7181593257866934,0.8239520967363597,0.17234123332570947,0.9449101773564687,fine_tune,212
